event_id,number,element,要素名,情報,重要度
1,1,event_id,イベントID,,A
1,2,event_category,イベントカテゴリ,,A
1,3,event_name,イベント名,,A
1,4,event_type,イベント種別,,A
1,5,event_description,イベント説明,,B
1,6,target_machines,対象機種,,A
1,7,start_time,開始時間,,A
1,8,end_time,終了時間,,A
1,9,recurrence_pattern,繰り返しパターン,,A
1,10,event_priority,イベント優先度,,A
1,11,expected_payout,期待出玉,,A
1,12,marketing_tag,マーケティングタグ,,B
1,13,responsible_staff,担当スタッフ,,B
1,14,special_notes,特記事項,,C
1,15,scheduled_event_date_1,1日,"[{""year"":2024,""month"":1,""store_ids"":[1,3]},{""year"":2025,""month"":1,""store_ids"":[1,2]}]",A
1,16,scheduled_event_date_2,2日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,17,scheduled_event_date_3,3日,"[{""year"":2025,""month"":1,""store_ids"":[1]}]",A
1,18,scheduled_event_date_4,4日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,19,scheduled_event_date_5,5日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,20,scheduled_event_date_6,6日,"[{""year"":2025,""month"":1,""store_ids"":[1]}]",A
1,21,scheduled_event_date_7,7日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,22,scheduled_event_date_8,8日,"[{""year"":2025,""month"":1,""store_ids"":[1]}]",A
1,23,scheduled_event_date_9,9日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,24,scheduled_event_date_10,10日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,25,scheduled_event_date_11,11日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,26,scheduled_event_date_12,12日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,27,scheduled_event_date_13,13日,"[{""year"":2025,""month"":1,""store_ids"":[1]}]",A
1,28,scheduled_event_date_14,14日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,29,scheduled_event_date_15,15日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,30,scheduled_event_date_16,16日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,31,scheduled_event_date_17,17日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,32,scheduled_event_date_18,18日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,33,scheduled_event_date_19,19日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,34,scheduled_event_date_20,20日,"[{""year"":2025,""month"":1,""store_ids"":[1]}]",A
1,35,scheduled_event_date_21,21日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,36,scheduled_event_date_22,22日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,37,scheduled_event_date_23,23日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,38,scheduled_event_date_24,24日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,39,scheduled_event_date_25,25日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,40,scheduled_event_date_26,26日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,41,scheduled_event_date_27,27日,"[{""year"":2025,""month"":1,""store_ids"":[1]}]",A
1,42,scheduled_event_date_28,28日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,43,scheduled_event_date_29,29日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,44,scheduled_event_date_30,30日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A
1,45,scheduled_event_date_31,31日,"[{""year"":2025,""month"":1,""store_ids"":[]}]",A