number,element,要素名,情報
1,day_1,1日,"[{""month"":5,""year"":2025,""total_diff"":101781.0,""avg_diff"":264.0,""avg_G"":6635}]"
2,day_2,2日,"[{""month"":5,""year"":2025,""total_diff"":86573.0,""avg_diff"":225.0,""avg_G"":6216}]"
3,day_3,3日,"[{""month"":5,""year"":2025,""total_diff"":100585.0,""avg_diff"":261.0,""avg_G"":6616}]"
4,day_4,4日,"[{""month"":5,""year"":2025,""total_diff"":66646.0,""avg_diff"":173.0,""avg_G"":6350}]"
5,day_5,5日,"[{""month"":5,""year"":2025,""total_diff"":136163.0,""avg_diff"":354.0,""avg_G"":6841}]"
6,day_6,6日,"[{""month"":5,""year"":2025,""total_diff"":20724.0,""avg_diff"":54.0,""avg_G"":6475}]"
7,day_7,7日,"[{""month"":5,""year"":2025,""total_diff"":null,""avg_diff"":null,""avg_G"":5818}]"
8,day_8,8日,"[{""month"":5,""year"":2025,""total_diff"":132871.0,""avg_diff"":345.0,""avg_G"":6810}]"
9,day_9,9日,"[{""month"":5,""year"":2025,""total_diff"":120920.0,""avg_diff"":314.0,""avg_G"":6564}]"
10,day_10,10日,"[{""month"":5,""year"":2025,""total_diff"":129878.0,""avg_diff"":337.0,""avg_G"":6722}]"
11,day_11,11日,"[{""month"":5,""year"":2025,""total_diff"":41950.0,""avg_diff"":109.0,""avg_G"":6529}]"
12,day_12,12日,"[{""month"":5,""year"":2025,""total_diff"":68763.0,""avg_diff"":179.0,""avg_G"":6775}]"
13,day_13,13日,"[{""month"":5,""year"":2025,""total_diff"":120851.0,""avg_diff"":314.0,""avg_G"":5755}]"
14,day_14,14日,"[{""month"":5,""year"":2025,""total_diff"":79837.0,""avg_diff"":207.0,""avg_G"":6598}]"
15,day_15,15日,"[{""month"":5,""year"":2025,""total_diff"":71388.0,""avg_diff"":185.0,""avg_G"":5822}]"
16,day_16,16日,"[{""month"":5,""year"":2025,""total_diff"":25305.0,""avg_diff"":66.0,""avg_G"":6573}]"
17,day_17,17日,"[{""month"":5,""year"":2025,""total_diff"":null,""avg_diff"":null,""avg_G"":6220}]"
18,day_18,18日,"[{""month"":5,""year"":2025,""total_diff"":62440.0,""avg_diff"":162.0,""avg_G"":6448}]"
19,day_19,19日,"[{""month"":5,""year"":2025,""total_diff"":166309.0,""avg_diff"":432.0,""avg_G"":6540}]"
20,day_20,20日,"[{""month"":5,""year"":2025,""total_diff"":125140.0,""avg_diff"":325.0,""avg_G"":6516}]"
21,day_21,21日,"[{""month"":5,""year"":2025,""total_diff"":32107.0,""avg_diff"":83.0,""avg_G"":5669}]"
22,day_22,22日,"[{""month"":5,""year"":2025,""total_diff"":153135.0,""avg_diff"":398.0,""avg_G"":5623}]"
23,day_23,23日,"[{""month"":5,""year"":2025,""total_diff"":125023.0,""avg_diff"":325.0,""avg_G"":6097}]"
24,day_24,24日,"[{""month"":5,""year"":2025,""total_diff"":null,""avg_diff"":null,""avg_G"":6567}]"
25,day_25,25日,"[{""month"":4,""year"":2025,""total_diff"":null,""avg_diff"":null,""avg_G"":6024},{""month"":5,""year"":2025,""total_diff"":null,""avg_diff"":null,""avg_G"":6384}]"
26,day_26,26日,"[{""month"":4,""year"":2025,""total_diff"":43862.0,""avg_diff"":114.0,""avg_G"":7239}]"
27,day_27,27日,"[{""month"":4,""year"":2025,""total_diff"":null,""avg_diff"":null,""avg_G"":6466}]"
28,day_28,28日,"[{""month"":4,""year"":2025,""total_diff"":69627.0,""avg_diff"":181.0,""avg_G"":6789}]"
29,day_29,29日,"[{""month"":4,""year"":2025,""total_diff"":117516.0,""avg_diff"":305.0,""avg_G"":6774}]"
30,day_30,30日,"[{""month"":4,""year"":2025,""total_diff"":null,""avg_diff"":null,""avg_G"":7251}]"
31,day_31,31日,"[]"